edge,source,source_title,target,target_title,strength,target_length,bridge,rank
P52->P53,P52,"Clinical Trial Funding Application, RFA-RM-27-001, Kawchak K.",P53,"Clinical Trial Funding Application v2.0, RFA-RM-27-001, Kawchak K.",0.982362860652354,0.7,False,1
P41->P42,P41,H. R. 9510 (Bill v3.0) 2026,P42,H. R. 9510 (Bill v4.0) 2026,0.9155374598257622,0.7524580934811688,False,1
P26->P27,P26,"Adaption: 21 CFR Part 50, End-to-End Physical AI Oncology Clinical Trial Unification",P27,"Adaption: 21 CFR Part 312, End-to-End Physical AI Oncology Clinical Trial Unification",0.8458505871951678,0.8704873704035863,False,1
P42->P43,P42,H. R. 9510 (Bill v4.0) 2026,P43,H. R. 9510 (Bill v5.0) 2026,0.8196419343727758,0.9277930822758622,False,1
P41->P43,P41,H. R. 9510 (Bill v3.0) 2026,P43,H. R. 9510 (Bill v5.0) 2026,0.7977432492330827,0.9805545600231375,False,2
P47->P48,P47,On-Premises LLM-Directed Robotic Pancreaticoduodenectomy with Perioperative Daraxonrasib (RMC-6236) in KRAS-Mutated Pancreatic Ductal Adenocarcinoma,P48,"A Phase 2, Daraxonrasib + LLM Guided Robotic PDAC Whipple Procedure, Clinical Trial Protocol",0.754462919188666,1.097133808562188,False,1
P44->P45,P44,From H. R. 9510 to Federal Law: A Narrative Case for Verified Physical AI Oncology Trials,P45,Earning the Clinician's Trust: New Framework for Verified Physical AI Oncology Trials,0.6302263681112967,1.5142019057181717,False,1
P34->P35,P34,2030: 60 Second Glioblastoma AI Robotic Surgery,P35,2030: 60 Second Pancreatic Ductal Adenocarcinoma Robotic Whipple Procedure & Daraxonrasib Simulation,0.610468056937197,1.5909474519994111,False,1
P40->P41,P40,Verification Before Generation Act of 2026,P41,H. R. 9510 (Bill v3.0) 2026,0.5444275260242099,1.8667703588426259,False,1
P02->P03,P02,LMM Spectrometric Determination of an Organic Compound,P03,High Dimensional and Complex Spectrometric Data Analysis of an Organic Compound using Large Multimodal Models and Chained Outputs,0.5429116830964431,1.873441523007861,False,1
P23->P24,P23,TrialMCP: MCP Servers for Physical AI Oncology Clinical Trial Systems,P24,National MCP Servers for Physical AI Oncology Clinical Trial Systems,0.5220067598770958,1.9669627549688504,False,1
P25->P26,P25,"Adaption: ICH Harmonised Guideline, End-to-End Physical AI Oncology Clinical Trial Unification",P26,"Adaption: 21 CFR Part 50, End-to-End Physical AI Oncology Clinical Trial Unification",0.5191938509528953,1.9797615927257874,False,1
P47->P51,P47,On-Premises LLM-Directed Robotic Pancreaticoduodenectomy with Perioperative Daraxonrasib (RMC-6236) in KRAS-Mutated Pancreatic Ductal Adenocarcinoma,P51,"Investigational New Drug Application - Daraxonrasib, Phase 1, LLM-Directed Robotic Whipple in KRAS-Mutated PDAC",0.4861156014373264,2.1340384902795044,False,1
P30->P39,P30,National Platform for Physical AI Oncology Trials,P39,VVUQ Physical AI Oncology Trial Bill,0.4838131429315519,2.1450334204689048,False,1
P05->P06,P05,Monoclonal Antibody Bioprocess Engineering Advancements Using Conversational Artificial Intelligence,P06,mAb Bioprocess Engineering In-Context Table Forecasts using Conversational AI Literature Insight Generations,0.4591395562881048,2.264921614323689,False,1
P39->P40,P39,VVUQ Physical AI Oncology Trial Bill,P40,Verification Before Generation Act of 2026,0.455868140253581,2.2810989202637124,False,1
P13->P14,P13,End-to-End Pancreatic Ductal Adenocarcinoma Digital Twin Clinical Trial Proposals,P14,"ChatGPT 100,000 Patient 24-Month In Silico Phase III 5-Arm Pancreatic Cancer Clinical Trial Triplicate",0.40287049612905496,2.5521989896420436,False,1
P18->P19,P18,LLM-Generated Glioblastoma Drug Synergy Machine Learning: From Rapid Code Prototypes to Project Deliverables Package,P19,"AI Peer Review Acceleration of LLM-Generated Glioblastoma Clinical Trial Patient Matching ML, FDA/ICH/ISO, and FastAPI",0.3876572878323563,2.63311291231667,False,1
P28->P31,P28,A Cancer Patient's Journey Through a Regulated Physical AI Oncology Trial,P31,Fully Automated Sponsor: Physical AI Oncology Clinical Trial Platform,0.37831377589347603,2.6834812014821745,False,1
P29->P33,P29,Physical AI Oncology Clinical Trial Site Complete Documentation Package,P33,Patient Priority of Proposed U.S. Bills for Physical AI Oncology Clinical Trials,0.36898560610567577,2.7342745192792908,False,1
