edge,source,source_title,target,target_title,strength,target_length,bridge,selection
P52|P53,P52,"Clinical Trial Funding Application, RFA-RM-27-001, Kawchak K.",P53,"Clinical Trial Funding Application v2.0, RFA-RM-27-001, Kawchak K.",0.982362860652354,0.7,False,top-2 neighbor
P41|P42,P41,H. R. 9510 (Bill v3.0) 2026,P42,H. R. 9510 (Bill v4.0) 2026,0.9155374598257622,0.7596103966159138,False,top-2 neighbor
P26|P27,P26,"Adaption: 21 CFR Part 50, End-to-End Physical AI Oncology Clinical Trial Unification",P27,"Adaption: 21 CFR Part 312, End-to-End Physical AI Oncology Clinical Trial Unification",0.8458505871951678,0.8937321601558047,False,top-2 neighbor
P42|P43,P42,H. R. 9510 (Bill v4.0) 2026,P43,H. R. 9510 (Bill v5.0) 2026,0.8196419343727758,0.9588511148560918,False,top-2 neighbor
P41|P43,P41,H. R. 9510 (Bill v3.0) 2026,P43,H. R. 9510 (Bill v5.0) 2026,0.7977432492330827,1.018806260112863,False,top-2 neighbor
P47|P48,P47,On-Premises LLM-Directed Robotic Pancreaticoduodenectomy with Perioperative Daraxonrasib (RMC-6236) in KRAS-Mutated Pancreatic Ductal Adenocarcinoma,P48,"A Phase 2, Daraxonrasib + LLM Guided Robotic PDAC Whipple Procedure, Clinical Trial Protocol",0.754462919188666,1.151280293792578,False,top-2 neighbor
P44|P45,P44,From H. R. 9510 to Federal Law: A Narrative Case for Verified Physical AI Oncology Trials,P45,Earning the Clinician's Trust: New Framework for Verified Physical AI Oncology Trials,0.6302263681112967,1.6252127804209255,False,top-2 neighbor
P34|P35,P34,2030: 60 Second Glioblastoma AI Robotic Surgery,P35,2030: 60 Second Pancreatic Ductal Adenocarcinoma Robotic Whipple Procedure & Daraxonrasib Simulation,0.610468056937197,1.7124220583176126,False,top-2 neighbor
P40|P42,P40,Verification Before Generation Act of 2026,P42,H. R. 9510 (Bill v4.0) 2026,0.5662360120117214,1.9186833672532881,False,top-2 neighbor
P40|P43,P40,Verification Before Generation Act of 2026,P43,H. R. 9510 (Bill v5.0) 2026,0.5575140830923684,1.9611162807061011,False,top-2 neighbor
P02|P03,P02,LMM Spectrometric Determination of an Organic Compound,P03,High Dimensional and Complex Spectrometric Data Analysis of an Organic Compound using Large Multimodal Models and Chained Outputs,0.5429116830964431,2.033432268505728,False,top-2 neighbor
P23|P24,P23,TrialMCP: MCP Servers for Physical AI Oncology Clinical Trial Systems,P24,National MCP Servers for Physical AI Oncology Clinical Trial Systems,0.5220067598770958,2.1397044823673443,False,top-2 neighbor
P25|P26,P25,"Adaption: ICH Harmonised Guideline, End-to-End Physical AI Oncology Clinical Trial Unification",P26,"Adaption: 21 CFR Part 50, End-to-End Physical AI Oncology Clinical Trial Unification",0.5191938509528953,2.1542483543284483,False,top-2 neighbor
P25|P27,P25,"Adaption: ICH Harmonised Guideline, End-to-End Physical AI Oncology Clinical Trial Unification",P27,"Adaption: 21 CFR Part 312, End-to-End Physical AI Oncology Clinical Trial Unification",0.508780801052508,2.2085877128323466,False,top-2 neighbor
P47|P51,P47,On-Premises LLM-Directed Robotic Pancreaticoduodenectomy with Perioperative Daraxonrasib (RMC-6236) in KRAS-Mutated Pancreatic Ductal Adenocarcinoma,P51,"Investigational New Drug Application - Daraxonrasib, Phase 1, LLM-Directed Robotic Whipple in KRAS-Mutated PDAC",0.4861156014373264,2.3295598542622207,False,top-2 neighbor
P30|P39,P30,National Platform for Physical AI Oncology Trials,P39,VVUQ Physical AI Oncology Trial Bill,0.4838131429315519,2.342053868166667,False,top-2 neighbor
P05|P06,P05,Monoclonal Antibody Bioprocess Engineering Advancements Using Conversational Artificial Intelligence,P06,mAb Bioprocess Engineering In-Context Table Forecasts using Conversational AI Literature Insight Generations,0.4591395562881048,2.4782879992796225,False,top-2 neighbor
P39|P40,P39,VVUQ Physical AI Oncology Trial Bill,P40,Verification Before Generation Act of 2026,0.455868140253581,2.4966709705099426,False,top-2 neighbor
P13|P14,P13,End-to-End Pancreatic Ductal Adenocarcinoma Digital Twin Clinical Trial Proposals,P14,"ChatGPT 100,000 Patient 24-Month In Silico Phase III 5-Arm Pancreatic Cancer Clinical Trial Triplicate",0.40287049612905496,2.804733684684739,False,top-2 neighbor
P18|P19,P18,LLM-Generated Glioblastoma Drug Synergy Machine Learning: From Rapid Code Prototypes to Project Deliverables Package,P19,"AI Peer Review Acceleration of LLM-Generated Glioblastoma Clinical Trial Patient Matching ML, FDA/ICH/ISO, and FastAPI",0.3876572878323563,2.8966796686560263,False,top-2 neighbor
P28|P31,P28,A Cancer Patient's Journey Through a Regulated Physical AI Oncology Trial,P31,Fully Automated Sponsor: Physical AI Oncology Clinical Trial Platform,0.37831377589347603,2.953915330396165,False,top-2 neighbor
P29|P33,P29,Physical AI Oncology Clinical Trial Site Complete Documentation Package,P33,Patient Priority of Proposed U.S. Bills for Physical AI Oncology Clinical Trials,0.36898560610567577,3.011633970521946,False,top-2 neighbor
P04|P05,P04,Paclitaxel Biosynthesis AI Breakthrough,P05,Monoclonal Antibody Bioprocess Engineering Advancements Using Conversational Artificial Intelligence,0.3687873108932345,3.012867169624169,False,top-2 neighbor
P40|P46,P40,Verification Before Generation Act of 2026,P46,Earning the Congress's Vote: A New Oncology Trial Framework for Enacting H. R. 9510,0.3677124771709753,3.0195560742877845,False,top-2 neighbor
P14|P15,P14,"ChatGPT 100,000 Patient 24-Month In Silico Phase III 5-Arm Pancreatic Cancer Clinical Trial Triplicate",P15,"QSP Metastatic Pancreatic Cancer AI Clinical Trial Simulation From Protocol to Prediction: Code, VVUQ, and Playbook",0.34537053338049384,3.1603100968128937,False,top-2 neighbor
P48|P51,P48,"A Phase 2, Daraxonrasib + LLM Guided Robotic PDAC Whipple Procedure, Clinical Trial Protocol",P51,"Investigational New Drug Application - Daraxonrasib, Phase 1, LLM-Directed Robotic Whipple in KRAS-Mutated PDAC",0.3438020400250519,3.170314002428354,False,top-2 neighbor
P01|P03,P01,LMM Chemical Research with Document Retrieval,P03,High Dimensional and Complex Spectrometric Data Analysis of an Organic Compound using Large Multimodal Models and Chained Outputs,0.3246562635217676,3.2937107604481834,False,top-2 neighbor
P15|P16,P15,"QSP Metastatic Pancreatic Cancer AI Clinical Trial Simulation From Protocol to Prediction: Code, VVUQ, and Playbook",P16,Accelerating FDA Compliance and Cost Efficiency of in silico Clinical Trials via AI Digital Twin Pancreatic Cancer Simulation,0.3185919205402405,3.3332888779376457,False,top-2 neighbor
P10|P11,P10,Autonomous LLM Agent and scalable Reasoning LLM for generating cancer drug industry cost solutions,P11,AI revolution toward the cure of lung adenocarcinoma,0.3170076912747259,3.3436670028945787,False,top-2 neighbor
P12|P13,P12,"10 Year Glioblastoma Clinical Trial Meta-Analyses by Autonomous AI at Scale. Survival, HR, AE, and RoB scored in AI Reports and Charts, including Verifications",P13,End-to-End Pancreatic Ductal Adenocarcinoma Digital Twin Clinical Trial Proposals,0.316772874944528,3.34520662899096,False,top-2 neighbor
P17|P19,P17,End-to-End Oncology Clinical Trial LLM Efficiency For Industry Adoption with FDA/ICH Regulations,P19,"AI Peer Review Acceleration of LLM-Generated Glioblastoma Clinical Trial Patient Matching ML, FDA/ICH/ISO, and FastAPI",0.31194987901712673,3.376907731710106,False,top-2 neighbor
P09|P10,P09,Cost containment of global monoclonal antibody drugs and cancer clinical trials via LLM focused reasoning,P10,Autonomous LLM Agent and scalable Reasoning LLM for generating cancer drug industry cost solutions,0.3113557625079312,3.3808230908417443,False,top-2 neighbor
P22|P23,P22,Federated Learning Physical AI Oncology Trials Unification,P23,TrialMCP: MCP Servers for Physical AI Oncology Clinical Trial Systems,0.3051744734137186,3.421692742681337,False,top-2 neighbor
P37|P38,P37,VVUQ Oncology Clinical Trial LLM Verification Automation Priority over Existing Generated Code,P38,Mobile Pancreatic Cancer Unitree H2 Surgical Humanoid with Priority VVUQ,0.30483208662450567,3.4239636629685384,False,top-2 neighbor
